corpus,fold,n_seeds,n_reference_spoof,n_reference_bonafide,n_target_spoof,n_target_bonafide,point_gap,ci95_low,ci95_high,bonferroni_within_corpus_low,bonferroni_within_corpus_high,bonferroni_global32_low,bonferroni_global32_high
CodecFake+,CLAMTTS,10,576,576,78,34,0.17658371040723989,0.10082956259426848,0.2608606711915534,0.06817472662141781,0.2893290441176462,0.05235191011500751,0.30372366374434473
CodecFake+,GPST,10,576,576,30,10,0.12000000000000002,0.020000000000000007,0.23000000000000004,-0.015000000000000003,0.2833333333333333,-0.034999999999999996,0.31166666666666665
CodecFake+,NS2,10,576,576,23,15,0.07362318840579714,-0.008985507246376834,0.17710144927536228,-0.04282653985507248,0.22224682971014326,-0.06204789402173914,0.24782608695652172
CodecFake+,NS3,10,576,576,32,30,0.13197916666666665,0.055416666666666656,0.23041666666666663,0.02802018229166669,0.2723958333333334,0.012851318359375025,0.2957039388020954
CodecFake+,SIMPLESPEECH1,10,576,576,32,19,0.16266447368421053,0.059950657894736824,0.2624177631578947,0.023478361430921045,0.3047697368421053,0.0009148206208881905,0.3264291863692482
CodecFake+,SIMPLESPEECH2,10,576,576,31,18,0.15707885304659497,0.05582437275985665,0.2591397849462366,0.020026601702508987,0.3037189180107517,0.000817582325268811,0.32971571180555875
CodecFake+,UNIAUDIO,10,576,576,11,9,0.1070707070707071,-0.03131313131313126,0.2202020202020202,-0.0818181818181818,0.26868686868686875,-0.11300583964646461,0.2943817077020261
CodecFake+,VALLE,10,576,576,57,53,0.11741145316120494,0.04159177424693809,0.20142378351539214,0.01701423369745117,0.23784358449188953,0.0034238585112545987,0.2589892497310506
asvspoof2019la,A08,5,691,461,71,48,0.03521126760563378,0.009859154929577452,0.0704225352112676,0.004225352112676051,0.09014084507042253,0.0,0.10140845070422537
asvspoof2019la,A09,5,691,461,66,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asvspoof2019la,A10,5,691,461,40,26,0.010961538461538467,-0.0065384615384615815,0.06749999999999996,-0.01855829326923075,0.09500000000000004,-0.02949594350961536,0.11365384615384617
asvspoof2019la,A11,5,691,461,38,26,0.0,0.0,0.0,0.0,0.007894736842105265,0.0,0.01578947368421051
asvspoof2019la,A12,5,691,461,37,25,0.03643243243243244,-0.005405405405405394,0.11881081081081087,-0.016216216216216228,0.16216216216216217,-0.024324324324324343,0.18564915540541296
asvspoof2019la,A13,5,691,461,28,18,0.01785714285714286,0.0,0.06428571428571428,0.0,0.09642857142857142,0.0,0.11785714285714284
asvspoof2019la,A14,5,691,461,24,16,0.039583333333333325,0.0,0.09791666666666668,0.0,0.13333333333333333,0.0,0.1541666666666667
asvspoof2019la,A15,5,691,461,12,10,0.008333333333333326,0.0,0.05,0.0,0.075,0.0,0.09999999999999998
asvspoof5,A18,5,691,461,71,48,0.10269953051643192,0.01801643192488265,0.2068075117370892,0.0026995305164319028,0.2519368031103279,-5.868544600939609e-05,0.2767793381382106
asvspoof5,A19,5,691,461,66,44,0.05,0.002272727272727293,0.10454545454545457,-0.013636363636363624,0.12992660984847604,-0.021969696969696993,0.14696969696969694
asvspoof5,A20,5,691,461,40,26,0.11750000000000001,0.04615384615384614,0.21038461538461534,0.023076923076923085,0.25269230769230766,0.0125,0.27692307692307694
asvspoof5,A21,5,691,461,38,26,0.007085020242914975,-0.031983805668016195,0.06761133603238871,-0.052631578947368474,0.10222672064777333,-0.06578947368421051,0.1214574898785425
asvspoof5,A22,5,691,461,37,25,0.1627027027027027,0.0362135135135135,0.32799999999999996,-0.004864864864864859,0.388,-0.027878462837837778,0.4211361486486638
asvspoof5,A23,5,691,461,28,18,0.12023809523809521,-0.0023809523809523946,0.276984126984127,-0.03611111111111116,0.3408730158730159,-0.055952380952380934,0.3760918898809617
asvspoof5,A24,5,691,461,24,16,0.16250000000000003,0.03750000000000005,0.33333333333333337,-0.004166666666666674,0.39375,-0.024999999999999956,0.4268245442708575
asvspoof5,A25,5,691,461,12,10,0.05,0.0,0.15666666666666665,-0.006666666666666643,0.225,-0.02666666666666666,0.2666666666666666
mlaad,FASTPITCH,5,691,461,71,48,0.029225352112676052,0.0,0.08750000000000002,0.0,0.11874999999999998,0.0,0.1416666666666667
mlaad,GLOWTTS,5,691,461,66,44,0.075,0.0,0.22727272727272724,0.0,0.3,0.0,0.3363636363636363
mlaad,NEURALHMM,5,691,461,40,26,0.06153846153846156,0.0,0.14615384615384613,0.0,0.1884615384615385,0.0,0.21538461538461537
mlaad,OVERFLOW,5,691,461,38,26,0.21781376518218626,0.08825910931174089,0.3615384615384615,0.041295546558704446,0.4115384615384616,0.01923076923076923,0.4384615384615385
mlaad,SPEEDYSPEECH,5,691,461,37,25,0.0040000000000000036,0.0,0.02400000000000002,0.0,0.03600000000000003,0.0,0.04799999999999997
mlaad,TACOTRON2,5,691,461,28,18,0.15,0.03333333333333335,0.27777777777777785,0.011111111111111117,0.3388888888888889,0.0,0.37777777777777777
mlaad,TORTOISE,5,691,461,12,10,0.12166666666666667,-0.011666666666666691,0.29500000000000004,-0.07500000000000005,0.3666666666666667,-0.12000000000000002,0.4083333333333334
mlaad,VITS,5,691,461,24,16,0.03125,0.0,0.0875,0.0,0.125,0.0,0.15
