corpus,fold,auroc,bacc_oracle_eer,bacc_oracle_best,bacc_transferred,gap_vs_oracle_eer,n_seeds
CodecFake+,CLAMTTS,0.916,0.8534,0.8713,0.6768,0.1766,10
CodecFake+,GPST,0.9387,0.87,0.8983,0.75,0.12,10
CodecFake+,NS2,0.9742,0.9177,0.9416,0.8441,0.0736,10
CodecFake+,NS3,0.9414,0.8708,0.8991,0.7389,0.132,10
CodecFake+,SIMPLESPEECH1,0.8359,0.7628,0.809,0.6002,0.1627,10
CodecFake+,SIMPLESPEECH2,0.8878,0.8508,0.8753,0.6937,0.1571,10
CodecFake+,UNIAUDIO,0.8848,0.8283,0.8722,0.7212,0.1071,10
CodecFake+,VALLE,0.8923,0.8073,0.831,0.6899,0.1174,10
asvspoof2019la,A08,1.0,1.0,1.0,0.9648,0.0352,5
asvspoof2019la,A09,1.0,1.0,1.0,1.0,0.0,5
asvspoof2019la,A10,0.9977,0.981,0.9925,0.97,0.011,5
asvspoof2019la,A11,1.0,1.0,1.0,1.0,0.0,5
asvspoof2019la,A12,0.9996,0.9933,0.996,0.9569,0.0364,5
asvspoof2019la,A13,1.0,1.0,1.0,0.9821,0.0179,5
asvspoof2019la,A14,1.0,1.0,1.0,0.9604,0.0396,5
asvspoof2019la,A15,1.0,1.0,1.0,0.9917,0.0083,5
asvspoof5,A18,0.9989,0.9846,0.9909,0.8819,0.1027,5
asvspoof5,A19,0.9976,0.9833,0.9886,0.9333,0.05,5
asvspoof5,A20,0.9998,0.9937,0.9975,0.8762,0.1175,5
asvspoof5,A21,0.986,0.9468,0.9678,0.9397,0.0071,5
asvspoof5,A22,0.9978,0.9638,0.9825,0.8011,0.1627,5
asvspoof5,A23,0.9917,0.9492,0.9742,0.829,0.1202,5
asvspoof5,A24,0.9859,0.9167,0.95,0.7542,0.1625,5
asvspoof5,A25,0.9967,0.9817,0.99,0.9317,0.05,5
mlaad,FASTPITCH,1.0,1.0,1.0,0.9708,0.0292,5
mlaad,GLOWTTS,1.0,1.0,1.0,0.925,0.075,5
mlaad,NEURALHMM,1.0,1.0,1.0,0.9385,0.0615,5
mlaad,OVERFLOW,0.9982,0.9779,0.9883,0.7601,0.2178,5
mlaad,SPEEDYSPEECH,1.0,1.0,1.0,0.996,0.004,5
mlaad,TACOTRON2,1.0,1.0,1.0,0.85,0.15,5
mlaad,TORTOISE,0.9483,0.9083,0.9417,0.7867,0.1217,5
mlaad,VITS,1.0,1.0,1.0,0.9688,0.0312,5
