family,fold,sampler,n_seeds,artifact_mean,tie_correct_mean,change
CodecFake+ recipe,CLAMTTS,hash,5,0.7400452488687783,0.7400452488687783,0.0
CodecFake+ recipe,CLAMTTS,source-balanced,5,0.7754147812971343,0.7754147812971343,0.0
CodecFake+ recipe,GPST,hash,5,0.762,0.762,0.0
CodecFake+ recipe,GPST,source-balanced,5,0.7699999999999999,0.7699999999999999,0.0
CodecFake+ recipe,NS2,hash,5,0.8191304347826087,0.8191304347826087,0.0
CodecFake+ recipe,NS2,source-balanced,5,0.8817391304347826,0.8817391304347826,0.0
CodecFake+ recipe,UNIAUDIO,hash,5,0.7434343434343434,0.7434343434343436,1.1102230246251565e-16
CodecFake+ recipe,UNIAUDIO,source-balanced,5,0.8343434343434343,0.8343434343434344,1.1102230246251565e-16
CodecFake+ recipe,VALLE,hash,5,0.6865276398543527,0.6865276398543528,1.1102230246251565e-16
CodecFake+ recipe,VALLE,source-balanced,5,0.8124462098642834,0.8124462098642834,0.0
CodecFake+ recipe,SIMPLESPEECH1,hash,5,0.5944078947368421,0.5944078947368421,0.0
CodecFake+ recipe,SIMPLESPEECH1,source-balanced,5,0.7516447368421052,0.7516447368421053,1.1102230246251565e-16
CodecFake+ recipe,SIMPLESPEECH2,hash,5,0.6727598566308244,0.6727598566308244,0.0
CodecFake+ recipe,SIMPLESPEECH2,source-balanced,5,0.8810035842293906,0.8810035842293906,0.0
CodecFake+ recipe,NS3,hash,5,0.8047916666666666,0.8047916666666668,2.220446049250313e-16
CodecFake+ recipe,NS3,source-balanced,5,0.7558333333333334,0.7558333333333334,0.0
ASVspoof5 recipe,A18,hash,5,0.9422535211267606,0.9422535211267606,0.0
ASVspoof5 recipe,A19,hash,5,0.993526170798898,0.993526170798898,0.0
ASVspoof5 recipe,A20,hash,5,0.9936538461538461,0.9936538461538461,0.0
ASVspoof5 recipe,A21,hash,5,0.8271255060728745,0.8271255060728745,0.0
ASVspoof5 recipe,A22,hash,5,0.9072432432432432,0.9072432432432432,0.0
ASVspoof5 recipe,A23,hash,5,0.8515873015873016,0.8515873015873016,0.0
ASVspoof5 recipe,A24,hash,5,0.678125,0.678125,0.0
ASVspoof5 recipe,A25,hash,5,0.9766666666666666,0.9766666666666668,2.220446049250313e-16
ASVspoof5 recipe,A18,source-balanced,5,0.9243544600938968,0.9243544600938967,-1.1102230246251565e-16
ASVspoof5 recipe,A19,source-balanced,5,0.9920798898071623,0.9920798898071623,0.0
ASVspoof5 recipe,A20,source-balanced,5,0.9957692307692309,0.9957692307692309,0.0
ASVspoof5 recipe,A21,source-balanced,5,0.845748987854251,0.845748987854251,0.0
ASVspoof5 recipe,A22,source-balanced,5,0.9576216216216217,0.9576216216216217,0.0
ASVspoof5 recipe,A23,source-balanced,5,0.9309523809523809,0.9309523809523809,0.0
ASVspoof5 recipe,A24,source-balanced,5,0.8072916666666666,0.8072916666666667,1.1102230246251565e-16
ASVspoof5 recipe,A25,source-balanced,5,0.9616666666666667,0.9616666666666667,0.0
MLAAD recipe,FASTPITCH,hash,15,0.9993544600938965,0.9993544600938965,0.0
MLAAD recipe,GLOWTTS,hash,15,0.9981634527089073,0.9981634527089073,0.0
MLAAD recipe,JENNY,hash,15,0.6909348895467287,0.6909348895467287,0.0
MLAAD recipe,NEURALHMM,hash,15,0.9997435897435897,0.9997435897435897,0.0
MLAAD recipe,OVERFLOW,hash,15,0.9918353576248312,0.9918353576248313,1.1102230246251565e-16
MLAAD recipe,SPEEDYSPEECH,hash,15,0.9997117117117118,0.9997117117117118,0.0
MLAAD recipe,TACOTRON2,hash,15,0.992989417989418,0.9929894179894182,2.220446049250313e-16
MLAAD recipe,TORTOISE,hash,15,0.7705555555555554,0.7705555555555554,0.0
MLAAD recipe,VITS,hash,15,0.9994791666666667,0.9994791666666667,0.0
MLAAD recipe,FASTPITCH,source-balanced,15,0.9993740219092331,0.9993740219092332,1.1102230246251565e-16
MLAAD recipe,GLOWTTS,source-balanced,15,0.9994949494949493,0.9994949494949494,1.1102230246251565e-16
MLAAD recipe,JENNY,source-balanced,15,0.6644798896670655,0.6644798896670655,0.0
MLAAD recipe,NEURALHMM,source-balanced,15,1.0,1.0,0.0
MLAAD recipe,OVERFLOW,source-balanced,15,0.9989203778677463,0.9989203778677463,0.0
MLAAD recipe,SPEEDYSPEECH,source-balanced,15,1.0,1.0,0.0
MLAAD recipe,TACOTRON2,source-balanced,15,0.9985449735449735,0.9985449735449736,1.1102230246251565e-16
MLAAD recipe,TORTOISE,source-balanced,15,0.8794444444444445,0.8794444444444445,0.0
MLAAD recipe,VITS,source-balanced,15,0.9996527777777777,0.9996527777777777,0.0
