family,fold,artifact_delta,tie_correct_delta,change
ASVspoof5 recipe,A18,-0.017899061032863872,-0.017899061032863983,-1.1102230246251565e-16
ASVspoof5 recipe,A19,-0.0014462809917357156,-0.0014462809917357156,0.0
ASVspoof5 recipe,A20,0.002115384615384741,0.002115384615384741,0.0
ASVspoof5 recipe,A21,0.018623481781376516,0.018623481781376516,0.0
ASVspoof5 recipe,A22,0.05037837837837844,0.05037837837837844,0.0
ASVspoof5 recipe,A23,0.0793650793650793,0.0793650793650793,0.0
ASVspoof5 recipe,A24,0.12916666666666665,0.12916666666666676,1.1102230246251565e-16
ASVspoof5 recipe,A25,-0.014999999999999902,-0.015000000000000124,-2.220446049250313e-16
CodecFake+ recipe,CLAMTTS,0.03536953242835594,0.03536953242835594,0.0
CodecFake+ recipe,GPST,0.007999999999999896,0.007999999999999896,0.0
CodecFake+ recipe,NS2,0.06260869565217386,0.06260869565217386,0.0
CodecFake+ recipe,NS3,-0.048958333333333215,-0.04895833333333344,-2.220446049250313e-16
CodecFake+ recipe,SIMPLESPEECH1,0.15723684210526312,0.15723684210526323,1.1102230246251565e-16
CodecFake+ recipe,SIMPLESPEECH2,0.20824372759856624,0.20824372759856624,0.0
CodecFake+ recipe,UNIAUDIO,0.09090909090909083,0.09090909090909083,0.0
CodecFake+ recipe,VALLE,0.12591857000993067,0.12591857000993056,-1.1102230246251565e-16
MLAAD recipe,FASTPITCH,1.9561815336577304e-05,1.9561815336688326e-05,1.1102230246251565e-16
MLAAD recipe,GLOWTTS,0.0013314967860420523,0.0013314967860421634,1.1102230246251565e-16
MLAAD recipe,JENNY,-0.026454999879663155,-0.026454999879663155,0.0
MLAAD recipe,NEURALHMM,0.0002564102564103221,0.0002564102564103221,0.0
MLAAD recipe,OVERFLOW,0.00708502024291513,0.007085020242915019,-1.1102230246251565e-16
MLAAD recipe,SPEEDYSPEECH,0.0002882882882881965,0.0002882882882881965,0.0
MLAAD recipe,TACOTRON2,0.005555555555555536,0.005555555555555425,-1.1102230246251565e-16
MLAAD recipe,TORTOISE,0.10888888888888903,0.10888888888888903,0.0
MLAAD recipe,VITS,0.00017361111111102723,0.00017361111111102723,0.0
